"","baseMean1","baseMean2","lfc1","lfc2","d0L1","d0R1","d0L2","d0R2","d0min"
"YHR046C_06",2619.56268567175,1329.10683610244,0.0810386164963295,-0.143927725145718,1725,2159,8,1572,8
"YJR038C_03",3361.21544913666,1328.3917030858,0.179869414792484,0.16717430005344,1375,262,53,931,53
"YDR225W_02",1606.48149194843,1327.37465647017,-0.179842568236448,0.164280127503511,1868,111,215,1199,111
"YER044C-A_00",1508.35660860953,1324.70858223702,0.0206921215713753,0.0150629134762996,1597,1252,667,2202,667
"YOR230W_00",2581.57771710257,1323.65298482834,0.167217087416969,0.0276817539841272,2641,0,284,1623,0
"YNL214W_07",1833.87025828036,1323.43930472489,-0.00320175924769369,0.0564903160717768,2035,207,1359,0,0
"YIL026C_09",1983.54903673433,1322.34965349481,0.127217478194772,0.0731058334563389,955,1494,1403,587,587
"YDR072C_08",1734.13742847415,1311.68933047986,0.055990993656495,0.102656449657506,1309,1591,876,682,682
"YGL220W_01",3932.00703612495,1308.27123523786,0.0669928936444052,0.0638064442392652,485,2672,1298,815,485
"YBR158W_00",2266.80061790882,1307.29277708295,-0.0733365095663567,0.022491285988539,316,2911,2022,358,316
"YBL107W-A_09",2034.21295774664,1303.73890006019,0.117776292027181,0.0939630650755036,1837,890,1048,352,352
"YIL125W_02",2858.24735368094,1303.35586398088,0.0248108849871173,-0.00319688257504745,4687,374,1141,1763,374
"YDR345C_05",1690.53892185457,1302.17693395779,0.0814860256527723,-0.114141408702084,962,1585,6,1614,6
"YNL018C_01_DEGEN",10819.2944888551,1299.40215511348,0.166897001135391,-0.0395412523810646,6744,3175,122,1664,122
"YDL032W_03",3355.63733195436,1291.0667750159,0.227844567449401,0.224256318833667,1485,848,390,417,390
"YLR182W_01",1730.96120175015,1289.83770525385,0.380903874916715,0.355281009139484,497,21,105,156,21
"YKR058W_01",1439.66776520729,1287.84779971465,-0.0216704952140015,-0.00684319047778313,2049,458,333,3139,333
"YBR183W_06",1802.3505424252,1287.741964146,0.103822030858971,0.0715826836707034,1208,726,1068,1054,726
"YLL046C_02",2588.10339923496,1283.91166436486,0.0313200185371529,0.0432513009018023,2705,2122,1684,316,316
"YPR130C_07",1303.26247608419,1282.26109946616,0.00325837027363173,-0.0296795343843242,3,1660,617,1586,3
"YPR111W_04",1431.33821852844,1278.88519338456,0.0577934765068139,0.0568011183645879,1413,850,1879,187,187
"YPL250C_03",1536.48728709208,1278.7435935517,0.113080984911885,0.0110980279619973,246,1469,1378,257,246
"YER031C_06",1317.38729059033,1278.71491258956,0.00861874335422964,0.102017884625313,2114,441,1213,346,346
"YMR291W_04",1352.15093657815,1278.54844699833,-0.0354598814497691,-0.0305097040714267,400,2198,1003,2057,400
"YBR027C_09",1431.53611723706,1274.48682292414,0.0519574551452475,-0.0664598240334317,1243,788,2783,369,369
"YCR092C_02",1284.00798655488,1273.97004810382,0.0743266377317363,0.044256257803461,281,1674,2018,314,281
"YJL066C_08",1834.63218691845,1273.0341726596,0.0678818956942409,0.128719461444245,2126,158,1368,267,158
"YOR163W_06",2254.55928089001,1271.49902493529,0.0976907584053698,0.107216854291947,2018,716,1003,531,531
"YAR010C_02_DEGEN",1877.91842029043,1268.18587337502,0.148702446610738,0.0458295343275808,1105,697,1428,812,697
"YJL170C_04",2851.71570455047,1266.99084754052,0.105687888572211,0.0353717158830957,2363,1562,621,1451,621
"YNL076W_03",1399.25102254177,1265.31331364758,0.0386793764274271,-0.0733266538314318,1964,433,670,2334,433
"YLR098C_03",4049.14785565556,1264.68078935555,0.0450622972768813,0.0765158224707767,4611,1128,1771,343,343
"YOR311C_07",1409.47970427503,1264.10780595869,0.127540035791369,0.127208660162489,1017,682,1392,128,128
"YNR070W_02",2637.53285798069,1261.0744178315,0.0431468297554365,0.0494792511079375,519,3842,1508,126,126
"YBL005W-A_06_DEGEN",3249.47189877865,1259.27698285172,0.188627415455102,0.170944399323908,1798,826,536,574,536
"YLR289W_07",1284.65715672311,1256.20378215323,0.0953633393019824,0.181354902323794,592,1344,1301,0,0
"YHR054C_04",4421.3563361673,1252.41095121425,0.125655858956165,0.0373066021198813,1728,3103,1245,1011,1011
"YDR497C_00",4064.29053187808,1250.28030804669,0.261520424731402,0.216535812332373,66,1930,116,633,66
"YNL160W_01",1483.76165721547,1246.62109942841,-0.0433394362736924,0.034003420376148,2892,942,529,1676,529
"YFR032C_08",1827.58713195099,1242.30048913386,0.0817301312607886,0.0786514394497195,1899,764,334,926,334
"YDR261W-B_00",1767.74909881447,1233.14932905097,0.105226111531006,0.0298894472499164,578,1124,493,1838,493
"YNL031C_07",1592.64985175116,1233.02222595584,0.126769806762102,-0.329353622783184,1644,321,28,1561,28
"YDR526C_06",1336.99576133483,1231.73976979012,-0.0188025143825128,-0.0144181553249066,3,1567,2046,1264,3
"YJR104C_07",2264.74608552456,1227.48369805027,0.0285582671156398,-0.0233222959795752,1297,2530,1166,1966,1166
"YBR208C_07",1726.48042381958,1226.79541649466,0.0193000544632587,0.0954554293993548,594,2150,1360,312,312
"YOL023W_01",1353.89952365942,1224.37286889925,0.0815916527802056,0.0409673355567845,1305,136,609,1127,136
"YDR545C-A_03_DEGEN",1748.38175720989,1223.32109877023,0.0755304777715766,0.0587874091633073,1102,1642,445,1524,445
"YGR145W_06",1750.05212550483,1217.97953977073,0.188549338538237,0.142259897578392,45,1222,837,447,45
"YDL045W-A_02",1457.1190191779,1217.70044520349,0.0443961653205123,0.0468323861444926,1485,134,890,1124,134
"YLR070C_00",1593.04300409285,1217.67422275976,0.0493741161338,0.0761779695128805,1541,941,743,1064,743
"YLR046C_01",1865.03560016847,1217.18022458978,0.0851940408513008,0.165500314272318,1816,1119,790,104,104
"YLL010C_02",2280.30968406954,1216.57611585212,0.0806319836167984,0.146350060769486,1014,1856,1374,156,156
"YJL117W_06",1683.66930204235,1216.1546667858,0.11216463847834,0.113009405339947,413,1432,401,1190,401
"YKL053C-A_03",1632.53059049257,1210.76611609199,-0.0473035071033908,0.0204344540464816,188,2789,1144,1393,188
"YLR376C_04",2976.47971954575,1210.31439713418,0.177603973098925,0.134702659856057,237,2131,1418,175,175
"YDR333C_08",6570.04335221257,1204.53229805796,0.279656094673273,-0.261892192085855,1774,809,657,4304,657
"YGL067W_06",1889.81517976985,1204.49950425002,0.191400568487112,0.220550179789692,1008,617,254,532,254
"YER190C-A_09_DEGEN",1209.54453805914,1201.77970852735,0.0474551243575984,0.0273384638565113,638,1274,564,1826,564
"YJL099W_01",1302.22701139235,1199.4849066297,0.0988541365084546,0.0131782903679741,512,1150,1328,836,512
"YOR049C_05",1522.10376753663,1198.64743763209,0.0220262679002434,0.0773641741498887,510,2197,1154,493,493
"YLL025W_03",1330.24654007307,1198.53211162622,0.161930094870536,0.159283810571419,975,394,238,945,238
"YOR161C_02",2053.32283981456,1197.87137008325,0.135357855019619,0.146153607879426,1248,1203,1078,248,248
"YGR068W-A_02",1323.78297884378,1190.96007801178,0.0749509630632807,-0.0241069423091593,665,1305,138,2734,138
"YPR080W_03",1203.84015061003,1187.19643602021,0.168614165585282,0.150421623549097,230,910,76,536,76
"YKL212W_04",1495.22420437149,1186.77432384833,0.141114981562891,0.175254278968887,278,1157,478,623,278
"YMR255W_07",1417.73648160163,1184.83507926082,-0.0422560665022586,-0.28355079156685,641,1825,164,1436,164
"YBR155W_04",1408.06556771958,1184.05610164847,-0.0804335000848884,-0.24673009848166,2071,1809,4176,514,514
"YDL245C_03",1446.88084776484,1176.66215157176,0.0873383290017715,0.117533300997526,776,1154,635,696,635
"YPL030W_00",1210.27255419937,1176.20782192029,0.0106041978553743,-0.255481873371014,1478,1139,201,1310,201
"YLR217W_09",1237.3685452207,1173.3294377381,-0.0820098879661211,0.0413323711367229,1210,1739,950,1386,950
"YNL005C_07",1826.383169664,1172.01644469671,0.109783683638813,0.122344609453657,78,1596,1187,574,78
"YEL053C_00",1517.1310044555,1169.56201427631,0.123734381712864,0.143203016632803,1044,951,1109,0,0
"YMR041C_09",1646.37427807007,1167.43213268325,-0.051111541698396,-0.137906979241662,2980,1612,908,2666,908
